id,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
514,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,2485000
869,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished,4007500
715,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,5250000
762,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,4830000
351,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3780000
623,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,6650000
799,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,4480000
483,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished,2940000
5,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,10850000
955,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,3430000
702,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,5495000
52,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,7350000
163,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,5425000
654,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,6090000
683,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,5740000
152,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,5565000
866,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished,4025000
54,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,7350000
602,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,7245000
791,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,4550000
525,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,2345000
690,5000,3,1,4,yes,no,no,no,no,0,no,furnished,5600000
721,8520,3,1,1,yes,no,no,no,yes,2,no,furnished,5250000
94,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,6300000
817,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,4340000
1026,2700,2,1,1,no,no,no,no,no,0,no,furnished,2940000
925,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3605000
301,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,4200000
574,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,8400000
170,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,5250000
189,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,5040000
160,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,5460000
192,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,5040000
850,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,4193000
155,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,5530000
372,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3640000
430,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished,3290000
470,5076,3,1,1,no,no,no,no,no,0,no,unfurnished,3010000
400,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,3500000
132,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,5810000
402,5880,2,1,1,yes,no,no,no,no,0,no,unfurnished,3500000
931,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished,3535000
954,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished,3430000
264,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,4410000
224,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,4760000
597,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,7350000
425,3185,2,1,1,yes,no,yes,no,no,2,no,furnished,3360000
21,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,8680000
299,7000,3,1,1,yes,no,no,no,no,3,no,furnished,4200000
245,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,4550000
1041,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,2695000
530,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished,2240000
966,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished,3360000
647,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,6195000
417,3640,2,1,1,yes,no,no,no,no,0,no,furnished,3395000
982,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,3290000
1000,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished,3129000
946,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished,3500000
416,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished,3395000
473,8050,2,1,1,yes,no,no,no,no,0,no,unfurnished,3003000
83,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,6580000
598,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,7350000
800,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,4480000
14,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,9240000
143,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,5600000
586,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished,7840000
81,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,6615000
19,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,8855000
934,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,3500000
157,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,5495000
913,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished,3675000
520,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished,2450000
750,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,4900000
179,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,5215000
82,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,6615000
737,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,5040000
537,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished,1890000
646,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished,6230000
65,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,6930000
405,3060,3,1,1,yes,no,no,no,no,0,no,unfurnished,3465000
921,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished,3640000
717,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,5250000
270,4500,3,2,3,yes,no,no,yes,no,1,no,furnished,4340000
1081,3420,5,1,2,no,no,no,no,no,0,no,unfurnished,1960000
834,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,4200000
650,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,6160000
129,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,5873000
747,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,4900000
74,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished,6650000
872,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished,3990000
723,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,5229000
95,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,6300000
1060,3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished,2450000
488,5200,4,1,3,yes,no,no,no,no,0,no,unfurnished,2852500
208,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,4900000
952,2145,3,1,3,yes,no,no,no,no,0,yes,furnished,3465000
25,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,8540000
187,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,5110000
476,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,2940000
811,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,4403000
521,3635,2,1,1,no,no,no,no,no,0,no,unfurnished,2408000
1059,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,2485000
322,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished,4025000
243,2550,3,1,2,yes,no,yes,no,no,0,no,furnished,4550000
830,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,4235000
703,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,5495000
188,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,5075000
589,6000,4,2,4,yes,no,no,no,yes,1,no,furnished,7560000
911,3630,2,1,1,yes,no,yes,no,no,0,no,furnished,3675000
781,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,4620000
289,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,4200000
999,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,3143000
353,2856,3,1,3,yes,no,no,no,no,0,yes,furnished,3780000
234,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,4620000
331,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished,3920000
849,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,4193000
518,3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished,2450000
990,3450,1,1,1,yes,no,no,no,no,0,no,furnished,3150000
1027,3150,3,1,2,no,no,no,no,no,0,no,unfurnished,2940000
1079,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished,2100000
38,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,7962500
329,3960,3,1,2,yes,no,no,no,no,0,no,furnished,3990000
727,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,5145000
32,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,8295000
381,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,3605000
837,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,4200000
113,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,6083000
983,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,3255000
612,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished,6895000
436,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,3290000
126,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,5880000
1014,4600,2,1,1,yes,no,no,no,no,0,no,furnished,3010000
552,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,10150000
682,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,5740000
198,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,4935000
926,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,3605000
578,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,8190000
274,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,4340000
1046,2430,3,1,1,no,no,no,no,no,0,no,unfurnished,2660000
959,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,3423000
342,7152,3,1,2,yes,no,no,no,yes,0,no,furnished,3850000
700,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,5530000
761,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,4830000
880,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished,3920000
6,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,10150000
555,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,9800000
1054,3600,2,2,2,yes,no,yes,no,no,1,no,furnished,2590000
930,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,3570000
550,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,10850000
951,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished,3465000
346,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished,3850000
531,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished,2233000
2,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,12250000
517,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished,2450000
505,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished,2653000
964,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,3360000
548,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,12215000
884,3180,4,2,2,yes,no,no,no,no,0,no,furnished,3885000
855,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished,4130000
890,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished,3850000
524,3264,2,1,1,yes,no,no,no,no,0,no,unfurnished,2380000
559,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,9240000
580,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,8080940
1001,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,3118850
987,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished,3220000
379,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished,3633000
540,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished,1820000
185,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,5110000
681,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,5740000
123,7320,4,2,2,yes,no,no,no,no,0,no,furnished,5950000
236,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,4620000
1034,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished,2835000
963,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished,3360000
454,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,3143000
254,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,4480000
112,4300,6,2,2,yes,no,no,no,no,0,no,furnished,6083000
965,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished,3360000
625,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,6629000
255,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,4480000
1019,4352,4,1,2,no,no,no,no,no,1,no,unfurnished,2975000
970,3185,2,1,1,yes,no,yes,no,no,2,no,furnished,3360000
709,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,5390000
1088,2910,3,1,1,no,no,no,no,no,0,no,furnished,1750000
1055,2880,3,1,1,no,no,no,no,no,0,no,unfurnished,2520000
441,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished,3220000
645,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,6230000
77,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished,6650000
1022,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished,2940000
119,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,5950000
544,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,1750000
314,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished,4095000
814,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,4375000
557,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,9310000
394,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished,3500000
923,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished,3640000
279,6360,2,1,1,yes,no,no,no,no,0,no,furnished,4270000
774,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,4690000
193,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,5033000
312,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished,4098500
953,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,3430000
724,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,5215000
881,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,3920000
554,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,9800000
147,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,5600000
604,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished,7210000
150,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,5600000
686,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,5652500
20,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,8750000
1086,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished,1767150
122,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,5950000
720,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,5250000
177,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,5243000
584,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,7910000
875,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished,3990000
1004,3500,2,1,1,yes,no,no,no,no,0,no,unfurnished,3115000
276,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished,4305000
708,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,5425000
782,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,4620000
939,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished,3500000
452,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished,3150000
290,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,4200000
670,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,5943000
349,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3780000
219,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,4795000
874,3960,3,1,2,yes,no,no,no,no,0,no,furnished,3990000
914,3600,2,1,1,yes,no,no,no,no,0,no,furnished,3675000
256,4000,3,1,2,yes,no,no,no,no,2,no,furnished,4480000
986,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished,3220000
639,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,6300000
424,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3360000
707,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,5460000
335,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished,3920000
575,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,8400000
870,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,4007500
486,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished,2870000
268,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,4382000
591,6000,3,2,4,yes,no,no,no,yes,1,no,furnished,7525000
367,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished,3675000
786,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,4550000
657,4300,6,2,2,yes,no,no,no,no,0,no,furnished,6083000
504,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished,2653000
755,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,4900000
44,6000,4,2,4,yes,no,no,no,yes,1,no,furnished,7560000
1020,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,2961000
722,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,5243000
332,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished,3920000
756,12900,3,1,1,yes,no,no,no,no,2,no,furnished,4900000
475,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,2961000
223,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,4760000
76,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished,6650000
409,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished,3430000
196,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,4970000
438,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,3255000
53,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,7350000
549,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,11410000
678,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,5810000
250,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,4515000
374,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished,3640000
136,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,5740000
460,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished,3087000
793,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,4543000
542,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished,1750000
843,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,4200000
484,3040,2,1,1,no,no,no,no,no,0,no,unfurnished,2870000
158,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,5495000
275,4032,2,1,1,yes,no,yes,no,no,0,no,furnished,4319000
865,4320,3,1,2,yes,no,no,no,no,2,yes,furnished,4060000
556,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,9681000
713,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,5250000
972,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,3332000
783,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished,4613000
985,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,3234000
120,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,5950000
587,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,7700000
1064,4840,2,1,2,yes,no,no,no,no,0,no,unfurnished,2450000
26,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,8463000
649,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,6195000
1036,2640,2,1,1,no,no,no,no,no,1,no,furnished,2835000
175,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,5250000
895,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,3780000
572,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished,8400000
998,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished,3150000
253,3520,2,1,2,yes,no,no,no,no,0,yes,furnished,4515000
529,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished,2275000
262,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,4445000
97,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,6300000
667,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,5950000
857,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished,4098500
948,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished,3500000
583,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,7962500
553,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,9870000
49,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,7420000
336,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,3920000
431,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished,3290000
429,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished,3325000
691,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,5600000
309,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,4130000
31,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,8400000
305,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,4193000
451,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3150000
989,3120,3,1,2,no,no,no,no,no,0,no,furnished,3220000
428,4040,2,1,1,yes,no,no,no,no,1,no,unfurnished,3325000
819,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,4340000
248,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,4543000
440,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,3234000
365,5450,2,1,1,yes,no,no,no,no,0,no,furnished,3703000
214,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,4865000
798,3520,2,1,2,yes,no,no,no,no,0,yes,furnished,4515000
448,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished,3150000
57,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,7245000
743,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,4935000
209,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,4900000
293,4410,2,1,1,no,no,no,no,no,1,no,unfurnished,4200000
444,3120,3,1,2,no,no,no,no,no,0,no,furnished,3220000
662,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished,5950000
